2-year,3-year,5-year,10-year,3-year least square,3-year linear interpolated,3-year cubic spline
4.69,4.58,4.57,4.63,4.588379,4.650000,4.641333
4.81,4.71,4.69,4.73,4.696707,4.770000,4.762000
4.81,4.72,4.70,4.74,4.705345,4.773333,4.765889
4.79,4.78,4.77,4.81,4.763268,4.783333,4.780889
4.79,4.77,4.77,4.80,4.757971,4.783333,4.781222
4.83,4.75,4.73,4.79,4.744399,4.796667,4.789111
4.81,4.71,4.72,4.76,4.722621,4.780000,4.773667
4.81,4.72,4.74,4.77,4.734600,4.786667,4.781778
4.83,4.76,4.77,4.80,4.763059,4.810000,4.805667
4.81,4.73,4.75,4.77,4.737941,4.790000,4.786000
4.82,4.75,4.77,4.80,4.761787,4.803333,4.799556
4.82,4.75,4.76,4.80,4.758446,4.800000,4.795333
4.80,4.73,4.75,4.78,4.741966,4.783333,4.779556
4.78,4.71,4.72,4.73,4.702912,4.760000,4.756333
4.79,4.71,4.71,4.73,4.700843,4.763333,4.758222
