Strike,Call Bid Price,Call Ask Price,Call Mid Price,Put Bid Price,Put Ask Price,Put Mid Price,Call-Put
1450,431.2,434.4,432.8,8.9,10.2,9.55,423.25
1500,384.1,387.4,385.75,11.6,13.1,12.35,373.4
1550,337.9,341.2,339.55,15.2,16.9,16.05,323.5
1600,292.8,296.2,294.5,19.9,21.8,20.85,273.65
1675,228.3,231.1,229.7,29.7,31.4,30.55,199.15
1700,207.5,210.1,208.8,33.6,35.5,34.55,174.25
1750,167.6,170,168.8,43.5,45.4,44.45,124.35
1775,148.9,151.3,150.1,49.4,51.5,50.45,99.65
1800,130.6,132.8,131.7,56.5,58.1,57.3,74.4
1825,113.2,115.3,114.25,63.6,65.7,64.65,49.6
1850,96.8,98.6,97.7,71.9,74.2,73.05,24.65
1875,81.5,83.2,82.35,81.4,83.5,82.45,-0.1
1900,67.1,69,68.05,92.1,94.5,93.3,-25.25
1925,54.2,55.9,55.05,103.8,106.3,105.05,-50
1975,32.8,34.5,33.65,132.4,134.7,133.55,-99.9
2000,24.5,25.9,25.2,149.2,151.9,150.55,-125.35
2050,12.4,13.6,13,186.9,189.7,188.3,-175.3
2100,5.6,6.5,6.05,230,232.4,231.2,-225.15
