Year,GE,JPM,Axis,MBIA
1,0.0032137807,0.0064337611,0.0250499862,0.0633416101
2,0.0104852763,0.0212502907,0.080501008,0.1649370106
3,0.0222693282,0.0402459748,0.1451945441,0.3389052093
4,0.0375246165,0.0694973697,0.1588525185,0.6474618658
5,0.0731002954,0.130316228,0.2710397331,0.5329972163
6,0.1297103194,0.1605187569,0.2492239499,0.5691579446
7,0.1496302431,0.1846460807,0.2842487007,0.6255695983
8,0.1930143981,0.2283757206,0.3103192965,0.5948717604
9,0.2143592357,0.2529810482,0.3416162785,0.6381391646
10,0.2351395006,0.2768017684,0.3714930364,0.6767856411
