seq,mid,cnt
0,42.78,56
1,42.89,1305
2,42.96,1591
3,42.95,704
4,43.045,1853
5,43.055,1620
6,43.015,2061
7,42.965,2653
8,42.985,1442
9,43.035,3234
10,43.125,2299
11,43.07,1780
12,43.045,1210
13,43.045,984
14,43.125,2094
15,43.105,2076
16,43.215,2714
17,43.285,1408
18,43.235,1058
19,43.245,882
20,43.225,1606
21,43.235,952
22,43.265,869
23,43.255,458
24,43.265,428
25,43.32,1792
26,43.355,2595
27,43.345,1948
28,43.305,1255
29,43.305,1979
30,43.24,1529
31,43.225,3046
32,43.275,1953
33,43.24,1946
34,43.295,1152
35,43.345,1263
36,43.365,1170
37,43.335,1109
38,43.305,862
39,43.255,864
40,43.265,939
41,43.245,910
42,43.325,1688
43,43.345,1434
44,43.38,830
45,43.345,564
46,43.335,698
47,43.345,1070
48,43.375,865
49,43.315,965
50,43.335,1187
51,43.365,1540
52,43.355,1074
53,43.375,1484
54,43.365,1175
55,43.355,1168
56,43.365,879
57,43.385,790
58,43.375,1655
59,43.315,2242
60,43.335,932
61,43.315,694
62,43.285,633
63,43.295,602
64,43.215,1108
65,43.265,558
66,43.265,461
67,43.285,757
68,43.315,1171
69,43.325,798
70,43.335,623
71,43.355,679
72,43.365,685
73,43.445,932
74,43.44,694
75,43.485,1307
76,43.405,883
77,43.405,1764
78,43.325,1313
79,43.325,746
80,43.355,751
81,43.345,485
82,43.365,739
83,43.365,565
84,43.355,385
85,43.355,352
86,43.375,553
87,43.375,634
88,43.375,634
89,43.375,530
90,43.365,381
91,43.375,791
92,43.355,397
93,43.295,1034
94,43.275,816
95,43.275,532
96,43.295,391
97,43.285,314
98,43.32,529
99,43.325,524
100,43.395,647
101,43.375,499
102,43.375,644
103,43.385,673
104,43.355,486
105,43.285,993
106,43.315,1242
107,43.325,745
108,43.295,972
109,43.295,983
110,43.295,1017
111,43.275,614
112,43.315,1197
113,43.325,825
114,43.345,591
115,43.345,454
116,43.345,609
117,43.35,661
118,43.335,621
119,43.345,405
120,43.315,776
121,43.325,489
122,43.285,1294
123,43.285,1284
124,43.255,709
125,43.275,939
126,43.295,679
127,43.305,571
128,43.295,407
129,43.305,273
130,43.265,655
131,43.275,379
132,43.305,630
133,43.305,203
134,43.305,106
135,43.325,344
136,43.315,275
137,43.335,356
138,43.355,231
139,43.355,600
140,43.345,275
141,43.355,432
142,43.395,567
143,43.415,308
144,43.405,355
145,43.415,163
146,43.415,140
147,43.415,266
148,43.415,316
149,43.465,889
150,43.495,725
151,43.515,923
152,43.565,1274
153,43.555,676
154,43.595,765
155,43.635,833
156,43.645,1023
157,43.665,645
158,43.675,639
159,43.705,782
160,43.675,1019
161,43.665,879
162,43.615,948
163,43.61,618
164,43.585,231
165,43.595,424
166,43.545,609
167,43.555,910
168,43.555,572
169,43.575,510
170,43.575,119
171,43.585,294
172,43.565,757
173,43.565,196
174,43.575,515
175,43.575,212
176,43.565,647
177,43.545,997
178,43.525,414
179,43.505,255
180,43.525,473
181,43.525,290
182,43.455,1042
183,43.455,820
184,43.455,657
185,43.455,527
186,43.495,612
187,43.495,246
188,43.475,509
189,43.535,766
190,43.565,426
191,43.565,731
192,43.545,323
193,43.55,329
194,43.555,201
195,43.54,364
196,43.585,495
197,43.595,878
198,43.545,2450
199,43.545,1276
200,43.575,575
201,43.565,230
202,43.575,570
203,43.575,695
204,43.555,660
205,43.545,1074
206,43.535,832
207,43.56,711
208,43.575,314
209,43.565,635
210,43.565,184
211,43.575,287
212,43.575,432
213,43.615,837
214,43.61,1395
215,43.61,572
216,43.565,576
217,43.565,786
218,43.525,569
219,43.545,764
220,43.535,500
221,43.515,400
222,43.515,417
223,43.49,367
224,43.495,247
225,43.535,758
226,43.545,233
227,43.565,425
228,43.555,269
229,43.525,660
230,43.485,440
231,43.475,509
232,43.455,631
233,43.405,1085
234,43.365,699
235,43.325,1287
236,43.315,857
237,43.315,503
238,43.325,407
239,43.345,690
240,43.335,639
241,43.325,373
242,43.305,607
243,43.295,651
244,43.295,529
245,43.275,379
246,43.285,314
247,43.295,534
248,43.305,267
249,43.355,1161
250,43.355,246
251,43.405,703
252,43.425,537
253,43.445,722
254,43.505,421
255,43.505,286
256,43.495,461
257,43.545,411
258,43.525,791
259,43.505,576
260,43.505,378
261,43.485,625
262,43.465,397
263,43.425,557
264,43.425,725
265,43.445,210
266,43.475,236
267,43.485,189
268,43.485,173
269,43.485,265
270,43.485,138
271,43.525,461
272,43.535,464
273,43.535,418
274,43.535,198
275,43.505,545
276,43.495,177
277,43.495,136
278,43.495,167
279,43.475,351
280,43.415,578
281,43.385,703
282,43.355,609
283,43.335,681
284,43.325,670
285,43.325,405
286,43.345,498
287,43.365,341
288,43.335,452
289,43.335,180
290,43.325,668
291,43.315,184
292,43.295,424
293,43.315,429
294,43.345,650
295,43.375,445
296,43.375,382
297,43.375,139
298,43.385,192
299,43.395,282
300,43.375,433
301,43.375,346
302,43.375,351
303,43.415,432
304,43.445,618
305,43.435,278
306,43.435,236
307,43.445,317
308,43.475,609
309,43.485,323
310,43.485,645
311,43.505,412
312,43.495,189
313,43.495,196
314,43.505,437
315,43.525,358
316,43.575,633
317,43.585,285
318,43.585,538
319,43.635,716
320,43.645,317
321,43.665,665
322,43.675,284
323,43.635,761
324,43.635,854
325,43.625,435
326,43.595,346
327,43.575,213
328,43.58,355
329,43.605,547
330,43.575,389
331,43.555,622
332,43.545,575
333,43.535,433
334,43.515,223
335,43.565,667
336,43.605,643
337,43.635,682
338,43.595,837
339,43.585,441
340,43.575,393
341,43.605,499
342,43.605,318
343,43.565,584
344,43.615,501
345,43.565,525
346,43.525,457
347,43.525,393
348,43.545,528
349,43.565,248
350,43.605,456
351,43.615,590
352,43.645,612
353,43.635,564
354,43.635,300
355,43.665,554
356,43.665,913
357,43.685,1597
358,43.665,522
359,43.675,430
360,43.665,938
361,43.695,573
362,43.715,605
363,43.745,892
364,43.745,656
365,43.785,905
366,43.795,660
367,43.755,839
368,43.795,778
369,43.795,489
370,43.795,410
371,43.805,1013
372,43.815,680
373,43.785,1162
374,43.735,1312
375,43.725,1239
376,43.755,1029
377,43.785,1232
378,43.805,1286
379,43.815,1507
380,43.795,2131
381,43.83,1741
382,43.835,1176
383,43.785,1569
384,43.745,1428
385,43.725,1220
386,43.715,1493
387,43.665,2459
388,43.695,1460
389,43.665,1208
390,43.7,1662
